context_count,audit_size,channel_interval_half_width,channel_heterogeneity,score_gradient_noncollinearity_angle,false_certified_sign_rate,harmful_sample_update_rate,clean_gradient_cosine,certified_mass,cosine_gain_over_best_nonoracle,cosine_gain_over_H001,harmful_rate_reduction_over_best_nonoracle,harmful_rate_reduction_over_H001,point_limit_direction_difference,valid_coverage
4,64,0.05,0.3,0,0.0,0.0,0.9999889060854186,0.6666666666666666,-7.859296668510928e-06,-7.676686884550143e-06,0.0,0.03333333333333333,0.0046563062553078285,True
4,64,0.05,0.3,45,0.0,0.0,0.9999441785664068,0.6666666666666666,-4.558993072931727e-05,-4.076911661046179e-05,0.0,0.03333333333333333,0.013640529286061652,True
4,64,0.05,0.3,90,0.0,0.0,0.9999126487776551,0.6666666666666666,-7.687037915835582e-05,-5.141397106227519e-05,0.0,0.0,0.00956104288411132,True
4,64,0.1,0.0,0,0.0,0.0,0.9970047374959329,0.4,-0.0029952625040669868,-0.0029896029741369955,0.0,0.1,0.1690619794254711,True
4,64,0.1,0.0,45,0.0,0.0,0.997924140502523,0.35,-0.0020758594974770615,-0.001998547714959864,0.0,0.08333333333333333,0.10119963102315642,True
4,64,0.1,0.0,90,0.0,0.0,0.9855996939294615,0.36666666666666664,-0.014400306070538549,-0.014122889617615274,0.0,0.1,0.30667129703837426,True
4,64,0.1,0.15,0,0.0,0.0,0.9993463636870065,0.4666666666666667,-0.0006334721498863383,-0.0006313337252370043,0.0,0.05,0.06463605358550319,True
4,64,0.1,0.15,45,0.0,0.0,0.9896434805592529,0.4666666666666667,-0.010330861253203882,-0.010327411814838094,0.0,0.05,0.25480292829154094,True
4,64,0.1,0.15,90,0.0,0.0,0.9945817273685764,0.4166666666666667,-0.005321921244257033,-0.005269224966221198,0.0,0.06666666666666667,0.14514387269981308,True
4,64,0.1,0.3,0,0.0,0.0,0.99684483221317,0.5,-0.0031472745302953075,-0.003144865513092987,0.025,0.1,0.1473234455099963,True
4,64,0.1,0.3,45,0.0,0.0,0.9961737273959269,0.4333333333333333,-0.003797101197353192,-0.003797101197353192,0.0,0.06666666666666667,0.10428817071034106,True
4,64,0.1,0.3,90,0.0,0.0,0.9975322884791226,0.45,-0.002424826706587524,-0.002307504966476359,0.0,0.08333333333333333,0.1289038832908075,True
4,64,0.2,0.0,0,0.0,0.0,0.0,0.0,-1.0,-0.9999579772336444,0.0,0.08333333333333333,1.0,True
4,64,0.2,0.0,45,0.0,0.0,0.0,0.0,-1.0,-0.9998744635141273,0.0,0.11666666666666665,1.0,True
